https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1610064000000,2021-01-08 00:00:00,BTC/USDT,39498.32,39818.77,38851.27,38877.92,12758.685,502945386.47041,108740
1610060400000,2021-01-07 23:00:00,BTC/USDT,39742.93,39751.80,38630.00,39498.92,21214.483,830441816.06337,173759
1610056800000,2021-01-07 22:00:00,BTC/USDT,39810.88,40129.87,39215.00,39747.87,14489.474,575680483.25456,123612
1610053200000,2021-01-07 21:00:00,BTC/USDT,39200.01,40023.00,39200.00,39798.19,18958.806,751417729.11268,150447
1610049600000,2021-01-07 20:00:00,BTC/USDT,39128.04,39277.06,38426.23,39198.96,21676.418,842814976.35848,167551
1610046000000,2021-01-07 19:00:00,BTC/USDT,38984.17,39324.22,37648.00,39128.05,49252.687,1899915309.89176,324262
1610042400000,2021-01-07 18:00:00,BTC/USDT,39822.21,40565.62,36690.56,38994.41,101521.510,3945681978.41323,670056
1610038800000,2021-01-07 17:00:00,BTC/USDT,39174.72,39899.50,39155.44,39822.21,22543.772,892577383.09120,167974
1610035200000,2021-01-07 16:00:00,BTC/USDT,39050.00,39666.00,38978.01,39172.67,38099.208,1495680380.30569,248621
1610031600000,2021-01-07 15:00:00,BTC/USDT,38491.67,39050.00,38118.00,39049.99,17240.749,665452633.60670,141069
1610028000000,2021-01-07 14:00:00,BTC/USDT,38218.92,38721.20,38125.19,38491.67,16409.558,631064441.75339,138626
1610024400000,2021-01-07 13:00:00,BTC/USDT,38004.04,38497.33,37935.88,38218.92,16916.523,647790055.48324,141309
1610020800000,2021-01-07 12:00:00,BTC/USDT,37919.72,38247.00,37558.80,38003.10,21014.436,797673335.02072,168250
1610017200000,2021-01-07 11:00:00,BTC/USDT,37103.60,38055.00,37098.93,37920.00,12755.161,479005695.75638,115306
1610013600000,2021-01-07 10:00:00,BTC/USDT,37548.82,37559.82,36951.10,37101.20,9236.577,343870241.95832,79977
1610010000000,2021-01-07 09:00:00,BTC/USDT,37296.46,37563.32,36944.00,37548.79,10599.592,394717645.26469,93668
1610006400000,2021-01-07 08:00:00,BTC/USDT,36909.86,37444.00,36337.36,37296.56,18163.987,670333025.32298,147207
1610002800000,2021-01-07 07:00:00,BTC/USDT,37170.68,37375.00,36751.00,36906.64,9761.340,361684456.08694,91859
1609999200000,2021-01-07 06:00:00,BTC/USDT,37410.00,37500.00,36752.40,37170.68,11516.829,427668850.03532,99480
1609995600000,2021-01-07 05:00:00,BTC/USDT,37536.51,37790.36,37208.16,37409.99,12163.965,455991009.88224,96737
1609992000000,2021-01-07 04:00:00,BTC/USDT,37554.98,37656.14,37149.45,37540.00,11462.608,428766152.02614,90970
1609988400000,2021-01-07 03:00:00,BTC/USDT,37026.75,37795.42,36978.07,37555.54,16777.670,628965818.54791,127998
1609984800000,2021-01-07 02:00:00,BTC/USDT,36971.87,37162.61,36532.05,37032.85,11711.221,431558455.73817,95622
1609981200000,2021-01-07 01:00:00,BTC/USDT,37225.12,37321.80,36722.02,36975.46,12656.726,468398455.26476,105405
1609977600000,2021-01-07 00:00:00,BTC/USDT,36825.77,37440.00,36500.00,37225.11,24004.608,888409176.55279,176943
1609974000000,2021-01-06 23:00:00,BTC/USDT,36053.00,37037.51,36009.61,36823.68,16432.650,601196923.57536,130584
1609970400000,2021-01-06 22:00:00,BTC/USDT,35921.59,36438.20,35729.05,36053.01,8796.716,318053765.79010,87574
1609966800000,2021-01-06 21:00:00,BTC/USDT,36131.02,36674.97,35700.06,35924.05,25837.110,933946303.94347,189209
1609963200000,2021-01-06 20:00:00,BTC/USDT,34861.71,36377.95,34330.00,36131.01,46571.902,1640504667.15137,330399
1609959600000,2021-01-06 19:00:00,BTC/USDT,35248.99,35749.67,34685.00,34861.70,21377.619,757116397.55672,160855
1609956000000,2021-01-06 18:00:00,BTC/USDT,34961.61,35250.00,34956.71,35247.26,12533.658,440687175.64167,96113
1609952400000,2021-01-06 17:00:00,BTC/USDT,34651.03,35124.99,34575.38,34961.62,10006.682,349273616.43718,94852
1609948800000,2021-01-06 16:00:00,BTC/USDT,34606.39,35142.02,34371.33,34651.04,18960.224,660104865.11570,146276
1609945200000,2021-01-06 15:00:00,BTC/USDT,34242.48,34854.04,34170.01,34606.40,11488.651,397680581.73712,91288
1609941600000,2021-01-06 14:00:00,BTC/USDT,34632.27,34650.00,34113.48,34242.47,13214.263,454047693.85386,125300
1609938000000,2021-01-06 13:00:00,BTC/USDT,35024.99,35195.53,34350.00,34626.09,12953.919,449278877.61147,113656
1609934400000,2021-01-06 12:00:00,BTC/USDT,34994.67,35178.89,34495.57,35024.99,14565.365,507362219.53057,114944
1609930800000,2021-01-06 11:00:00,BTC/USDT,34462.54,35350.00,34380.65,34994.66,21050.234,735333007.11707,165984
1609927200000,2021-01-06 10:00:00,BTC/USDT,33986.65,34600.00,33900.00,34462.55,11421.793,392545489.76615,93390
1609923600000,2021-01-06 09:00:00,BTC/USDT,34660.70,34666.45,33650.00,33985.94,25066.708,853010418.52735,174043
1609920000000,2021-01-06 08:00:00,BTC/USDT,34716.88,35060.73,34037.29,34660.70,21047.600,728201410.30360,151073
1609916400000,2021-01-06 07:00:00,BTC/USDT,35240.97,35399.99,34400.00,34718.61,15694.147,546802843.08668,127202
1609912800000,2021-01-06 06:00:00,BTC/USDT,35069.73,35343.00,34869.35,35240.96,11836.164,415905359.20571,98030
